iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
MNG,Mongolia,2000,4090464.887,156624744.5,0,0,152760295,3802679
MOZ,Mozambique,2000,28917947.27,78729716.65,78409111,754632,0,0
MSR,Montserrat,2000,4582.527251,10061.82208,6467,3654,0,0
MTQ,Martinique,2000,74649.67905,111787.9552,32420,80036,0,0
MUS,Mauritius,2000,71304.81705,191366.7645,2560,0,0,0
MWI,Malawi,2000,1521821.688,11802885.39,11873960,0,0,0
MYS,Malaysia,2000,29430562.4,32938348.76,0,33158097,0,0
MYT,Mayotte,2000,33577.05043,39165.17965,3245,36160,0,0
NAM,Namibia,2000,3835.352354,82385622.18,82780946,0,0,0
NCL,New Caledonia,2000,1440330.504,1882559.407,409501,1482540,0,0
NGA,Nigeria,2000,10048731.33,90840998.02,77016062,14401410,0,0
NIC,Nicaragua,2000,7776807.521,12821978.48,5495779,7404032,0,0
NLD,Netherlands,2000,593051.6753,3766566.364,0,0,3760290,0
NOR,Norway,2000,11739521.78,32512221.03,0,0,14038,32366439
NPL,Nepal,2000,5161040.902,14766249.54,4537645,2861916,7421636,0
NZL,New Zealand,2000,11255742.6,26716575.12,0,0,26735402,0
PAK,Pakistan,2000,978655.8892,87417630.6,36036762,272520,51403970,0
PAN,Panama,2000,5700499.759,7510419.904,510135,7048639,0,0
PER,Peru,2000,78087222.68,129281868.5,41794260,88305190,103,0
PHL,Philippines,2000,18599416.94,29585658.16,709223,29057952,0,0
PLW,Palau,2000,41263.46521,48743.20538,,,,
PNG,Papua New Guinea,2000,42921809.05,46363061.21,1834167,44833133,0,0
POL,Poland,2000,10439489.73,31239917.8,0,0,31189047,0
PRI,Puerto Rico,2000,523696.3361,897037.2746,123121,778790,0,0
PRK,North Korea,2000,5196389.714,12275519.14,0,6605,12282824,211
PRT,Portugal,2000,2302481.425,8955505.678,0,0,8966882,0
PRY,Paraguay,2000,24296867.55,39958667.52,31505770,8638036,0,0
REU,Reunion,2000,170474.5251,251271.105,,,,
ROU,Romania,2000,7915161.125,23833793.64,0,0,23829568,0
RUS,Russia,2000,761226496.9,1689455452,0,1154,395100749,1275119886
RWA,Rwanda,2000,497885.7754,2527769.912,1443072,1101690,0,0
SDN,Sudan,2000,72712.56006,187213491.7,188275728,0,0,0
SEN,Senegal,2000,39568.36254,19688982.71,19653612,151658,0,0
SGP,Singapore,2000,18784.231,69703.69606,0,70172,0,0
SLB,Solomon Islands,2000,2741617.787,2853324.006,0,2850386,0,0
SLE,Sierra Leone,2000,5617878.286,7260135.886,2042118,5264745,0,0
SLV,El Salvador,2000,988823.3082,2042272.859,1887561,166926,0,0
SMR,San Marino,2000,829.5404327,6122.35296,0,0,6123,0
SOM,Somalia,2000,87128.07478,63353849.52,63726638,42989,0,0
SPM,Saint Pierre and Miquelon,2000,5454.071972,22663.41677,0,0,0,22656
SRB,Serbia,2000,2730300.36,7823140.491,0,0,7824698,0
SSD,South Sudan,2000,11386560.1,62809870.7,62747941,470767,0,0
STP,Sao Tome and Principe,2000,14213.57471,100217.9877,0,100899,0,0
